CRIM,ZN,INDUS,CHAS,NX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
0.17505,0.0,5.96,0,0.499,5.966,30.2,3.8473,5,279.0,19.2,393.43,10.13
17.8667,0.0,18.1,0,0.6709999999999999,6.223,100.0,1.3861,24,666.0,20.2,393.74,21.78
0.01965,80.0,1.76,0,0.385,6.23,31.5,9.0892,1,241.0,18.2,341.6,12.93
0.08707000000000001,0.0,12.83,0,0.4370000000000001,6.14,45.8,4.0905,5,398.0,18.7,386.96,10.27
0.04684,0.0,3.41,0,0.489,6.4170000000000025,66.1,3.0923,2,270.0,17.8,392.18,8.81
5.82115,0.0,18.1,0,0.713,6.513,89.9,2.8016,24,666.0,20.2,393.82,10.29
0.6379600000000001,0.0,8.14,0,0.5379999999999999,6.096,84.5,4.4619,4,307.0,21.0,380.02,10.26
0.75026,0.0,8.14,0,0.5379999999999999,5.924,94.1,4.3996,4,307.0,21.0,394.33,16.3
0.22438000000000002,0.0,9.69,0,0.585,6.027,79.7,2.4982,6,391.0,19.2,396.9,14.33
0.06466000000000001,70.0,2.24,0,0.4,6.345,20.1,7.8278,5,358.0,14.8,368.24,4.97
0.03615,80.0,4.95,0,0.411,6.63,23.4,5.1167,4,245.0,19.2,396.9,4.7
0.5401100000000001,20.0,3.97,0,0.647,7.2029999999999985,81.8,2.1121,5,264.0,13.0,392.8,9.59
0.1403,22.0,5.86,0,0.431,6.487,13.0,7.3967,7,330.0,19.1,396.28,5.9
0.6147,0.0,6.2,0,0.507,6.6179999999999986,80.8,3.2721,8,307.0,17.4,396.9,7.6
0.06417,0.0,5.96,0,0.499,5.933,68.2,3.3603,5,279.0,19.2,396.9,9.68
0.21719000000000002,0.0,10.59,1,0.489,5.807,53.8,3.6526,4,277.0,18.6,390.94,16.03
0.15037999999999999,0.0,25.65,0,0.581,5.856,97.0,1.9444,2,188.0,19.1,370.31,25.41
0.15936,0.0,6.91,0,0.448,6.211,6.5,5.7209,3,233.0,17.9,394.46,7.44
37.6619,0.0,18.1,0,0.679,6.202000000000001,78.7,1.8629,24,666.0,20.2,18.82,14.52
0.11747,12.5,7.87,0,0.524,6.009,82.9,6.2267,5,311.0,15.2,396.9,13.27
0.10328,25.0,5.13,0,0.453,5.9270000000000005,47.2,6.932,8,284.0,19.7,396.9,9.22
0.15875999999999998,0.0,10.81,0,0.413,5.961,17.5,5.2873,4,305.0,19.2,376.94,9.88
1.3547200000000001,0.0,8.14,0,0.5379999999999999,6.072,100.0,4.175,4,307.0,21.0,376.73,13.04
0.01951,17.5,1.38,0,0.4161,7.104,59.5,9.2229,3,216.0,18.6,393.24,8.05
0.024980000000000002,0.0,1.89,0,0.518,6.54,59.7,6.2669,1,422.0,15.9,389.96,8.65
0.7904100000000001,0.0,9.9,0,0.544,6.122000000000001,52.8,2.6403,4,304.0,18.4,396.9,5.98
15.5757,0.0,18.1,0,0.58,5.926,71.0,2.9084,24,666.0,20.2,368.74,18.13
6.96215,0.0,18.1,0,0.7,5.712999999999999,97.0,1.9265,24,666.0,20.2,394.43,17.11
0.053020000000000005,0.0,3.41,0,0.489,7.079,63.1,3.4145,2,270.0,17.8,396.06,5.7
0.1029,30.0,4.93,0,0.428,6.358,52.9,7.0355,6,300.0,16.6,372.75,11.22
0.10793,0.0,8.56,0,0.52,6.195,54.4,2.7778,5,384.0,20.9,393.49,13.0
0.04462,25.0,4.86,0,0.426,6.619,70.4,5.4007,4,281.0,19.0,395.63,7.22
3.69695,0.0,18.1,0,0.718,4.963,91.4,1.7523,24,666.0,20.2,316.03,14.0
0.67191,0.0,8.14,0,0.5379999999999999,5.813,90.3,4.682,4,307.0,21.0,376.88,14.81
0.54452,0.0,21.89,0,0.624,6.151,97.9,1.6687,4,437.0,21.2,396.9,18.46
9.329089999999999,0.0,18.1,0,0.713,6.185,98.7,2.2616,24,666.0,20.2,396.9,18.13
0.17142000000000002,0.0,6.91,0,0.448,5.682,33.8,5.1004,3,233.0,17.9,396.9,10.21
0.0795,60.0,1.69,0,0.411,6.579,35.9,10.7103,4,411.0,18.3,370.78,5.49
0.03961,0.0,5.19,0,0.515,6.037000000000001,34.5,5.9853,5,224.0,20.2,396.9,8.01
0.09065,20.0,6.96,1,0.464,5.92,61.5,3.9175,3,223.0,18.6,391.34,13.65
0.04666,80.0,1.52,0,0.404,7.107,36.6,7.309,2,329.0,12.6,354.31,8.61
6.80117,0.0,18.1,0,0.713,6.081,84.4,2.7175,24,666.0,20.2,396.9,14.7
0.07022,0.0,4.05,0,0.51,6.02,47.2,3.5549,5,296.0,16.6,393.23,10.11
0.1265,25.0,5.13,0,0.453,6.7620000000000005,43.4,7.9809,8,284.0,19.7,395.58,9.5
12.8023,0.0,18.1,0,0.74,5.854,96.6,1.8956,24,666.0,20.2,240.52,23.79
0.8520399999999999,0.0,8.14,0,0.5379999999999999,5.965,89.2,4.0123,4,307.0,21.0,392.53,13.83
1.6286399999999999,0.0,21.89,0,0.624,5.019,100.0,1.4394,4,437.0,21.2,396.9,34.41
7.75223,0.0,18.1,0,0.713,6.301,83.7,2.7831,24,666.0,20.2,272.21,16.23
0.6147,0.0,6.2,0,0.507,6.6179999999999986,80.8,3.2721,8,307.0,17.4,396.9,7.6
0.01096,55.0,2.25,0,0.389,6.4529999999999985,31.9,7.3073,1,300.0,15.3,394.72,8.23
0.07503,33.0,2.18,0,0.472,7.42,71.9,3.0992,7,222.0,18.4,396.9,6.47
0.14052,0.0,10.59,0,0.489,6.375,32.3,3.9454,4,277.0,18.6,385.81,9.38
0.12579,45.0,3.44,0,0.4370000000000001,6.556,29.1,4.5667,5,398.0,15.2,382.84,4.56
0.07022,0.0,4.05,0,0.51,6.02,47.2,3.5549,5,296.0,16.6,393.23,10.11
0.02055,85.0,0.74,0,0.41,6.382999999999999,35.7,9.1876,2,313.0,17.3,396.9,5.77
0.04113,25.0,4.86,0,0.426,6.727,33.5,5.4007,4,281.0,19.0,396.9,5.29
4.34879,0.0,18.1,0,0.58,6.1670000000000025,84.0,3.0334,24,666.0,20.2,396.9,16.29
22.5971,0.0,18.1,0,0.7,5.0,89.5,1.5184,24,666.0,20.2,396.9,31.99
0.08447,0.0,4.05,0,0.51,5.859,68.7,2.7019,5,296.0,16.6,393.23,9.64
9.96654,0.0,18.1,0,0.74,6.485,100.0,1.9784,24,666.0,20.2,386.73,18.85
0.04011,80.0,1.52,0,0.404,7.287000000000001,34.1,7.309,2,329.0,12.6,396.9,4.08
4.87141,0.0,18.1,0,0.614,6.484,93.6,2.3053,24,666.0,20.2,396.21,18.68
8.15174,0.0,18.1,0,0.7,5.39,98.9,1.7281,24,666.0,20.2,396.9,20.85
0.12082999999999999,0.0,2.89,0,0.445,8.068999999999999,76.0,3.4952,2,276.0,18.0,396.9,4.21
0.09103,0.0,2.46,0,0.488,7.155,92.2,2.7006,3,193.0,17.8,394.12,4.82
0.33147,0.0,6.2,0,0.507,8.247,70.4,3.6519,8,307.0,17.4,378.95,3.95
9.96654,0.0,18.1,0,0.74,6.485,100.0,1.9784,24,666.0,20.2,386.73,18.85
0.51183,0.0,6.2,0,0.507,7.358,71.6,4.148,8,307.0,17.4,390.07,4.73
14.4383,0.0,18.1,0,0.597,6.852,100.0,1.4655,24,666.0,20.2,179.36,19.78
13.6781,0.0,18.1,0,0.74,5.935,87.9,1.8206,24,666.0,20.2,68.95,34.02
0.08872999999999999,21.0,5.64,0,0.439,5.962999999999999,45.7,6.8147,4,243.0,16.8,395.56,13.45
0.13158,0.0,10.01,0,0.547,6.176,72.5,2.7301,6,432.0,17.8,393.3,12.04
0.050589999999999996,0.0,4.49,0,0.449,6.3889999999999985,48.0,4.7794,3,247.0,18.5,396.9,9.62
13.0751,0.0,18.1,0,0.58,5.712999999999999,56.7,2.8237,24,666.0,20.2,396.9,14.76
0.22969,0.0,10.59,0,0.489,6.3260000000000005,52.5,4.3549,4,277.0,18.6,394.87,10.97
9.33889,0.0,18.1,0,0.679,6.38,95.6,1.9682,24,666.0,20.2,60.72,24.08
9.96654,0.0,18.1,0,0.74,6.485,100.0,1.9784,24,666.0,20.2,386.73,18.85
0.18159,0.0,7.38,0,0.493,6.376,54.3,4.5404,5,287.0,19.6,396.9,6.87
0.11132,0.0,27.74,0,0.609,5.983,83.5,2.1099,4,711.0,20.1,396.9,13.35
0.41238,0.0,6.2,0,0.504,7.1629999999999985,79.9,3.2157,8,307.0,17.4,372.08,6.36
14.2362,0.0,18.1,0,0.693,6.343,100.0,1.5741,24,666.0,20.2,396.9,20.32
2.4495299999999998,0.0,19.58,0,0.605,6.402,95.2,2.2625,5,403.0,14.7,330.04,11.32
20.7162,0.0,18.1,0,0.659,4.138,100.0,1.1781,24,666.0,20.2,370.22,23.34
8.05579,0.0,18.1,0,0.584,5.4270000000000005,95.4,2.4298,24,666.0,20.2,352.58,18.14
0.14103,0.0,13.92,0,0.4370000000000001,5.79,58.0,6.32,4,289.0,16.0,396.9,15.84
1.34284,0.0,19.58,0,0.605,6.066,100.0,1.7573,5,403.0,14.7,353.89,6.43
0.03427,0.0,5.19,0,0.515,5.869,46.3,5.2311,5,224.0,20.2,396.9,9.8
0.59005,0.0,21.89,0,0.624,6.372000000000001,97.9,2.3274,4,437.0,21.2,385.76,11.12
0.01381,80.0,0.46,0,0.422,7.875,32.0,5.6484,4,255.0,14.4,394.23,2.97
1.41385,0.0,19.58,1,0.871,6.129,96.0,1.7494,5,403.0,14.7,321.02,15.12
0.12816,12.5,6.07,0,0.409,5.885,33.0,6.4979999999999976,4,345.0,18.9,396.9,8.79
8.15174,0.0,18.1,0,0.7,5.39,98.9,1.7281,24,666.0,20.2,396.9,20.85
0.06127000000000001,40.0,6.41,1,0.447,6.8260000000000005,27.6,4.8628,4,254.0,17.6,393.45,4.16
0.22438000000000002,0.0,9.69,0,0.585,6.027,79.7,2.4982,6,391.0,19.2,396.9,14.33
0.05735,0.0,4.49,0,0.449,6.63,56.1,4.4377,3,247.0,18.5,392.3,6.53
24.3938,0.0,18.1,0,0.7,4.652,100.0,1.4672,24,666.0,20.2,396.9,28.28
2.37857,0.0,18.1,0,0.583,5.871,41.9,3.724,24,666.0,20.2,370.73,13.34
0.032369999999999996,0.0,2.18,0,0.458,6.9979999999999976,45.8,6.0622,3,222.0,18.7,394.63,2.94
0.11747,12.5,7.87,0,0.524,6.009,82.9,6.2267,5,311.0,15.2,396.9,13.27
0.02055,85.0,0.74,0,0.41,6.382999999999999,35.7,9.1876,2,313.0,17.3,396.9,5.77
0.6147,0.0,6.2,0,0.507,6.6179999999999986,80.8,3.2721,8,307.0,17.4,396.9,7.6
0.08829,12.5,7.87,0,0.524,6.0120000000000005,66.6,5.5605,5,311.0,15.2,395.6,12.43
12.8023,0.0,18.1,0,0.74,5.854,96.6,1.8956,24,666.0,20.2,240.52,23.79
0.5341199999999999,20.0,3.97,0,0.647,7.52,89.4,2.1398,5,264.0,13.0,388.37,7.26
0.21977,0.0,6.91,0,0.448,5.602,62.0,6.0877,3,233.0,17.9,396.9,16.2
8.64476,0.0,18.1,0,0.693,6.193,92.6,1.7912,24,666.0,20.2,396.9,15.17
14.2362,0.0,18.1,0,0.693,6.343,100.0,1.5741,24,666.0,20.2,396.9,20.32
0.14476,0.0,10.01,0,0.547,5.731,65.2,2.7592,6,432.0,17.8,391.5,13.61
0.12329000000000001,0.0,10.01,0,0.547,5.9129999999999985,92.9,2.3534,6,432.0,17.8,394.95,16.21
